1|5|1.0|6.8028317497e-05|1.0|7.57496636605e-05
1|10|1.0|6.56579831263e-05|1.0|7.5337936365e-05
1|20|1.0|6.74489675721e-05|1.0|7.43604686762e-05
1|30|1.0|6.77114741385e-05|1.0|7.61247219795e-05
2|5|1.0|1.8536111211e-05|1.0|2.10405392954e-05
2|10|1.0|1.70700438961e-05|1.0|2.00544231964e-05
2|20|1.0|1.7453237125e-05|1.0|1.97680823832e-05
2|30|1.0|1.62674824486e-05|1.0|2.02203176486e-05
3|5|1.0|3.94327828279e-05|1.0|4.26365139185e-05
3|10|1.0|8.76995784682e-06|1.0|9.34519578887e-06
3|20|1.0|8.08778128619e-06|1.0|8.94259523995e-06
3|30|1.0|7.3991321347e-06|1.0|9.53580381877e-06
4|5|1.0|4.96650963865e-06|1.0|6.12985512294e-06
4|10|1.0|7.59572336211e-06|1.0|7.64297875889e-06
4|20|1.0|5.76490310051e-06|1.0|6.01293558892e-06
4|30|1.0|4.95554097611e-06|1.0|6.05300427757e-06
